QuellenId,URL
63,https://www.zeit.de/politik/2023-10/olaf-scholz-katar-tamim-bin-hamad-al-thani
64,https://www.zeit.de/politik/2023-10/angriff-auf-israel-steffi-hentschke-was-jetzt-livesendung
65,https://www.zeit.de/politik/ausland/2023-10/israel-ueberblick-baerbock-damaskus-angriff-gazastreifen-versorgung
66,https://www.zeit.de/gesellschaft/schule/2023-10/hamas-angriff-israelhass-palaestina-schulen
67,https://www.zeit.de/gesundheit/2023-10/gaza-humanitaere-lage-hilfe-ngo
68,https://www.zeit.de/politik/ausland/2023-10/aussenministerin-annalena-baerbock-israel-hamas
69,https://www.zeit.de/politik/ausland/2023-10/israel-gazastreifen-phosphormunition-menschenrechte-human-rights-watch-antony-blinken-besuch
70,https://www.zeit.de/gesellschaft/2023-10/israel-hamas-schulen-deutschland-antisemitismus-zentralrat
71,https://www.zeit.de/politik/ausland/2023-10/israel-gaza-massenevakuierung-zivilisten-norden
72,https://www.zeit.de/politik/deutschland/2023-10/hamas-aufruf-demonstrationen-israel-warnung-bka-schutz-juden-deutschland
73,https://www.zeit.de/politik/2023-10/bodenoffensive-gazastreifen-israel-geiseln-krieg
74,https://www.zeit.de/politik/ausland/2023-10/aegypten-truppen-gazastreifen-jordanien-demonstrationen
75,https://www.zeit.de/politik/ausland/2023-10/israel-gazastreifen-konflikt-vereinte-nationen-un-sicherheitsrat
76,https://www.zeit.de/2023/43/hamas-angriff-israel-geschichte-nahostkonflikt
77,https://www.zeit.de/politik/deutschland/2023-10/samuel-salzborn-antisemitismus-berlin-islam-israel-gazastreifen
78,https://www.zeit.de/politik/ausland/2023-10/israel-angriff-hamas-bundesregierung-deutsche-lufthansa-sonderfluege
79,https://www.zeit.de/politik/ausland/2023-10/flucht-gaza-stadt-hamas-israel-fs
80,https://www.zeit.de/politik/ausland/2023-10/terrorismus-hamas-israel-krieg-gaza
81,https://www.zeit.de/politik/2023-10/evakuierung-gaza-israel-hamas-nachrichtenpodcast
82,https://www.zeit.de/politik/ausland/2023-10/israel-hamas-internationale-reaktionen-solidaritaet
83,https://www.zeit.de/politik/ausland/2023-10/israel-ueberblick-gazastreifen-flucht-aegypten-annalena-baerbock
84,https://www.zeit.de/politik/ausland/2023-10/israel-hamas-angriff-razzien-gazastreifen
85,https://www.zeit.de/kultur/film/2023-10/palaestinenser-israel-medien-hamas-angriff
86,https://www.zeit.de/politik/ausland/2023-10/tv-ansprache-netanjahu-zerstoerung-hamas
87,https://www.zeit.de/politik/ausland/2023-10/israel-ueberblick-gazastreifen-flucht-netanjahu-hamas-vernichtung
88,https://www.zeit.de/politik/2023-10/zivilbevoelkerung-gazastreifen-hamas-israel-voelkerrecht-nachrichtenpodcast
89,https://www.zeit.de/digital/2023-10/angriff-israel-hamas-soziale-medien-eu-x
90,https://www.zeit.de/gesellschaft/2023-10/antisemitismus-deutschland-israel-juden-daniel-sheffer
91,https://www.zeit.de/gesellschaft/schule/2023-10/krieg-israel-gazastreifen-gew-schulungen-lehrer-forderung
92,https://www.zeit.de/politik/ausland/2023-10/krieg-nahost-auslaender-gazastreifen-bodenoffensive-abkommen-grenzuebergang-rafah
93,https://www.zeit.de/gesellschaft/zeitgeschehen/2023-10/bundeswehr-fliegt-staatsbuerger-aus-israel
94,https://www.zeit.de/politik/ausland/2023-10/israel-ueberblick-gazastreifen-angriff-hamas-flucht-palaestinenser
95,https://www.zeit.de/gesellschaft/zeitgeschehen/2023-10/shani-louk-deutsch-israel-geiselnahme-bundesregierung-hamas
96,https://www.zeit.de/politik/ausland/2023-10/israel-ueberblick-syrien-angriff-bundeswehr-deutsche
97,https://www.zeit.de/politik/2023-10/bodenoffensive-gazastreifen-israel-hamas-nachrichtenpodcast
98,https://www.zeit.de/politik/2023-10/israel-gaza-bodenoffensive-wetter-hamas
99,https://www.zeit.de/politik/ausland/2023-10/israel-libanon-reisewarnung-krieg-gaza
100,https://www.zeit.de/politik/ausland/2023-10/israel-krieg-hisbollah-libanon-grenze
101,https://www.zeit.de/politik/deutschland/2023-10/solidaritaet-israel-linke-parteien-palaestinenser
102,https://www.zeit.de/politik/ausland/2023-10/krieg-nahost-bodenoffensive-warnungen-iran-usa-china-aegypten-un-katastrophe-gazastreifen
103,https://www.zeit.de/politik/ausland/2023-10/zivilisten-gaza-infrastruktur-flucht-israel-hamas
104,https://www.zeit.de/politik/ausland/2023-10/israel-ueberblick-flucht-gazastreifen-iran-wasser
105,https://www.zeit.de/politik/ausland/2023-10/lage-israel-geiseln-bundesregierung-annalena-baerbock-anne-will
106,https://www.zeit.de/politik/ausland/2023-10/ueberblick-israel-gazastreifen-nahost-un-verurteilung-zivilisten-geiseln-palaestinenserpraesient
107,https://www.zeit.de/politik/ausland/2023-10/hisbollah-libanon-israel-mehrfrontenkrieg-nahost
