Nummer,Min,Max,Spannweite,Mittelwert,Varianz,Standardabweichung,Median,25Quantil,75Quantil,Sentiment
58,-0.2,0.2,0.4,0.21428571428571427,0.05449735449735451,0.07382232351894277,0.0,0.0,0.0,neutral
59,-0.6,0.5,1.1,-2.25,0.5305555555555556,0.23033791601808754,-0.2,-0.325,-0.2,neutral
60,-1.0,0.1,1.1,-0.6428571428571429,0.3867724867724869,0.19666532149122956,0.0,-0.025,0.0,neutral
61,-0.3,0.6,0.8999999999999999,0.39285714285714285,0.3506613756613756,0.18725954599469039,0.0,0.0,0.0,neutral
62,-0.2,1.0,1.2,6.964285714285714,0.699867724867725,0.26455013227509927,0.7,0.6,0.9,positiv
63,-0.4,1.0,1.4,6.428571428571429,0.9365079365079364,0.30602417167732626,0.7,0.5,0.8,positiv
64,-0.9,1.0,1.9,4.678571428571429,2.4374338624338625,0.4937037433961649,0.6,0.45,0.7,positiv
65,-0.8,0.0,0.8,-4.857142857142857,0.4867724867724868,0.2206292108430991,-0.5,-0.6,-0.3,negativ
66,-0.8,0.0,0.8,-3.7142857142857144,0.5248677248677247,0.22909991812912653,-0.35,-0.5,-0.2,negativ
67,-0.8,1.0,1.8,5.821428571428571,1.230026455026455,0.3507173299149124,0.65,0.475,0.8,positiv
68,-0.6,1.0,1.6,-2.2857142857142856,0.7841269841269841,0.2800226748188411,-0.3,-0.3,-0.2,neutral
69,-0.8,0.0,0.8,-4.535714285714286,0.3813492063492064,0.19528164438810075,-0.4,-0.6,-0.4,negativ
70,-1.0,0.0,1.0,-8.5,0.7296296296296296,0.27011657291429375,-1.0,-1.0,-0.8,negativ
71,-0.8,0.5,1.3,-3.642857142857143,0.608994708994709,0.24677818157096243,-0.3,-0.5,-0.3,negativ
72,-0.7,0.2,0.8999999999999999,-1.2857142857142858,0.273015873015873,0.16523191974188067,-0.1,-0.2,0.0,neutral
73,-0.5,0.7,1.2,-1.5,0.8111111111111111,0.2848001248439177,-0.2,-0.4,-0.075,neutral
74,-0.9,-0.1,0.8,-5.321428571428571,0.5189153439153439,0.2277971342917518,-0.5,-0.7,-0.4,negativ
75,-1.0,-0.2,0.8,-6.0,0.4666666666666667,0.2160246899469287,-0.6,-0.7,-0.4,negativ
